artist,song,text,cleaned_text
Kylie Minogue,Kids,"Me no bubbletious  
Me smoke heavy tar  
Me be groovin' slowly  
Where you are  
Notify your next of kin  
'Cause you're never coming back  
I've been dropping beats  
Since Back in Black  
And we'll paint by numbers  
'Til something sticks  
Don't mind doing it for the kids (So come on)  
Jump on board  
Take a ride (yeah) (You'll be doin' it all right)  
Jump on board feel the high  
'Cause the kids are alright  
  
You've got a reputation  
Well I guess that can be explored  
You're dancing with  
The chairman of the board  
Take a ride on my  
Twelve cylinder symphony  
But if you got other plans  
The purpose of a woman  
Is to love her man  
  
And we'll paint by numbers  
Till something sticks  
Don't mind doing it for the kids (So come on) jump on board  
Take a ride (yeah) (Doin' it all right)  
Jump on board feel the high  
'Cause the kids are alright  
  
I'm gonna give it all of my loving  
It's gonna take up all of my love  
I'm gonna give it all of my loving  
It's gonna take up all of my love  
I'm gonna give it all of my loving  
It's gonna take up all of my love  
I'm gonna give it all of my loving  
It's gonna take up all of my love  
  
Come down from the ceiling  
I didn't mean to get so high  
I couldn't do what I wanted to do  
When my lips were dry  
You can't just up and leave me  
I'm a singer in a band  
Well I like drummers baby  
You're not my bag  
  
Jump on board  
Take a ride, yeah (You'll be doin' it all right)  
Jump on board feel the high, yeah  
  
Jump on board  
Take a ride, yeah (You'll be doin' it all right)  
Jump on board feel the high, yeah  
  
I'm an honorary  
Sean Connery, born '74  
There's only one of me  
Single-handedly  
Raising the economy  
Ain't no chance of the  
Record company dropping me  
Press be asking do  
I care for sodomy  
I don't know, yeah, probably  
I've been looking  
For serial monogamy  
Not some bird that  
Looks like Billy Connolly  
But for now  
I'm down for ornithology  
Grab your binoculars  
Come follow me

",bubbletious smoke heavy tar groovin slowly notify next kin cause youre never coming back ive dropping beats since back black well paint numbers til something sticks dont mind kids come jump board take ride yeah youll doin right jump board feel high cause kids alright youve got reputation well guess explored youre dancing chairman board take ride twelve cylinder symphony got plans purpose woman love man well paint numbers till something sticks dont mind kids come jump board take ride yeah doin right jump board feel high cause kids alright im gon na give loving gon na take love im gon na give loving gon na take love im gon na give loving gon na take love im gon na give loving gon na take love come ceiling didnt mean get high couldnt wanted lips dry cant leave im singer band well like drummers baby youre bag jump board take ride yeah youll doin right jump board feel high yeah jump board take ride yeah youll doin right jump board feel high yeah im honorary sean connery born theres one singlehandedly raising economy aint chance record company dropping press asking care sodomy dont know yeah probably ive looking serial monogamy bird looks like billy connolly im ornithology grab binoculars come follow
Zox,Starry Night,"Lying on my back I feel you breathing  
Sucking down the ghosts into your sleep  
There's something in your spine that makes me nervous  
Black that swells between us grows more deep  
Cut the world in chords  
Making melodies from words  
And I'm confused again  
Take all this abuse cause I ain't got much to lose  
  
It's a starry starry night out here on hope street  
But hope gives way to hunger when you're poor  
With pockets full of promises and poems  
I know that you ain't worth much anymore  
Spoke in broken time  
Twisted rhythms, crooked rhymes  
And I'm confused again  
Paint my world in blue  
Cause I've never liked to lose  
  
I don't think I want to spend another night with you  
I don't think I want to spend another day  
Feeling the way you leave me to  
I don't think I want to spend another night with you  
I don't think I want to spend another day  
Feeling the way you leave me to  
  
Standing in the half light of the morning  
I watch the shadows lace across my shoes  
There's something in your voice that makes me nervous  
If I can tell we're lying, why can't you?  
The song that's in my head  
Is playing backwards in this bed  
And I'm confused again  
Seems like I have to choose  
It feels like either way I lose  
  
Cause I don't think I want to spend another night with you  
Well I don't think I want to spend another day  
Feeling the way you leave me to  
I don't think I want to spend another night with you  
I don't think I want to spend another day  
Feeling the way you leave me to  
  
Spoke in broken time  
Crooked rhythms, twisted rhymes  
And I'm confused again  
Either way I choose  
I know I'm gonna lose  
  
I don't think I want to spend another night with you  
I don't think I want to spend another day  
Feeling the way you leave me to  
I don't think I want to spend another night with you  
I don't think I want to spend another day  
Feeling the way you leave me to  
(I don't think I want to spend another night with you)  
Feeling the way you leave me to  
(I don't think I want to spend another night with you)  
Feeling the way you leave me to  
(I don't think I want to spend another night with you)  
Feeling the way you leave me to  
(I don't think I want to spend another night with you)  
Come On!

",lying back feel breathing sucking ghosts sleep theres something spine makes nervous black swells us grows deep cut world chords making melodies words im confused take abuse cause aint got much lose starry starry night hope street hope gives way hunger youre poor pockets full promises poems know aint worth much anymore spoke broken time twisted rhythms crooked rhymes im confused paint world blue cause ive never liked lose dont think want spend another night dont think want spend another day feeling way leave dont think want spend another night dont think want spend another day feeling way leave standing half light morning watch shadows lace across shoes theres something voice makes nervous tell lying cant song thats head playing backwards bed im confused seems like choose feels like either way lose cause dont think want spend another night well dont think want spend another day feeling way leave dont think want spend another night dont think want spend another day feeling way leave spoke broken time crooked rhythms twisted rhymes im confused either way choose know im gon na lose dont think want spend another night dont think want spend another day feeling way leave dont think want spend another night dont think want spend another day feeling way leave dont think want spend another night feeling way leave dont think want spend another night feeling way leave dont think want spend another night feeling way leave dont think want spend another night come
Olivia Newton-John,Coming Home,"I've wandered far away from God  
Now I'm coming home  
The paths of sin too long I've trod  
Lord, I'm coming home  
  
I've wasted many precious years  
Now I'm coming home  
I repent with bitter tears  
Lord, I'm coming home  
  
Coming home  
Yeah, I'm coming home  
Nevermore to roam  
Open wide thine arms of love  
Lord, I'm coming home  
  
Coming home  
Yeah, I'm coming home  
Nevermore to roam  
Open wide thine arms of love  
Lord I'm coming home  
  
Coming home  
Yeah, I'm coming home  
Nevermore to roam  
Open wide thine arms of love,  
Lord I'm coming home.

",ive wandered far away god im coming home paths sin long ive trod lord im coming home ive wasted many precious years im coming home repent bitter tears lord im coming home coming home yeah im coming home nevermore roam open wide thine arms love lord im coming home coming home yeah im coming home nevermore roam open wide thine arms love lord im coming home coming home yeah im coming home nevermore roam open wide thine arms love lord im coming home
Incubus,Voices From The Grave,"Mesmerizing sounds I hear telling me to kill  
Telling me submit to the power  
Demonic overtones I fear stealing my freewill  
I am now the man of the hour  
Controlling all my thoughts now I don?t know  
Right from wrong there is no hope for escape  
Stung by wicked words as the silence  
Speaks to me there is no hope for escape  
CHORUS  
Voices from the grave  
Telling me to sin  
My soul is what they crave  
Killing me within  
Disembodied spirits near pervading through my soul  
Getting harder to live in this Hell  
Angry voices loud and clear now they take control  
Now they leave me just an empty shell  
Controlling all my thoughts now I don?t know  
Right from wrong there is no hope for escape  
Stung by wicked words as the silence  
Speaks to me there is no hope for escape  
CHORUS  
Voices from the grave  
Telling me to sin  
My soul is what they crave  
Killing me within  
LEAD  
Nothing to do but heed to their world  
And live to their every command  
All of my thoughts are sacrificial  
And used for their violent plans  
Mustering strength to fight the attack  
Released from a hypnotic state  
I drop to my knees and pray to the Lord  
To save me from my evil fate  
Screaming in pain I?m thrown to the floor  
And grabbed by their arms of control  
The powers of evil the powers of good  
Are fighting for my weakened soul  
LEAD  
A winner emerges darkness prevails  
No future?s in sight for me  
Can?t take the pain darkness delivers  
Dying will set me free  
Clenching the gun sweating in fear  
Knowing the end is surely near  
Pulling the trigger launching death  
Evil inside me gasping breath  
Lifeless pile dead and gone  
Evil around me still lives on  
Lesson in life the road is paved  
Follow God and you?ll be saved  
Beware of voices from the grave  

",mesmerizing sounds hear telling kill telling submit power demonic overtones fear stealing freewill man hour controlling thoughts dont know right wrong hope escape stung wicked words silence speaks hope escape chorus voices grave telling sin soul crave killing within disembodied spirits near pervading soul getting harder live hell angry voices loud clear take control leave empty shell controlling thoughts dont know right wrong hope escape stung wicked words silence speaks hope escape chorus voices grave telling sin soul crave killing within lead nothing heed world live every command thoughts sacrificial used violent plans mustering strength fight attack released hypnotic state drop knees pray lord save evil fate screaming pain im thrown floor grabbed arms control powers evil powers good fighting weakened soul lead winner emerges darkness prevails futures sight cant take pain darkness delivers dying set free clenching gun sweating fear knowing end surely near pulling trigger launching death evil inside gasping breath lifeless pile dead gone evil around still lives lesson life road paved follow god youll saved beware voices grave
Bruce Springsteen,Devil's Arcade,"Remember the morning we dug up your gun  
The worms in the barrel, the hanging sun  
Those first nervous evenings of perfume and gin  
The lost smell on your breath as I helped you get it in  
The rush of your lips, the feel of your name  
The beat in your heart, the devil's arcade  
  
You said ""Heroes are needed, so heroes get made""  
Somebody made a bet, somebody paid  
The cool desert morning and nothing to save  
Just metal and plastic where your body caved  
The slow games of poker with Lieutenant Ray  
In the ward with the blue walls, a sea with no name  
Where you lie adrift with the heroes of the devil's arcade  
  
You sleep and you dream, your buddies Charlie and James  
And wake with a thick desert dust on your skin  
  
Voice says ""don't worry, I'm here  
Just whisper the word tomorrow in my ear""  
House on a quiet street, a home for the brave  
A glorious kingdom with the sun on your face  
  
Rising from a long night as dark as the grave  
On a thin chain of next moments and something like faith  
On a morning to order a breakfast to make  
A bed draped in sunshine, a body that waits  
For the touch of your fingers, the end of the day  
  
The beat of your heart, the beat of your heart  
The beat of your heart, the beat of your heart  
The beat of your heart, the beat of her heart  
The beat of your heart, the slow burning away  
Of the bitter fires of the devil's arcade  
  
[Terri's Song Begins]  
  
Well they built the Titanic to be one of a kind, but many ships have ruled the
seas  
They built the Eiffel Tower to stand alone, but they could build another if
they please  
Taj Mahal, the pyramids of Egypt, are unique I suppose  
But when they built you, brother, they broke the mold  
  
Now the world is filled with many wonders under the passing sun  
And sometimes something comes along and you know it's for sure the only one  
The Mona Lisa, the David, the Sistine Chapel, Jesus, Mary, and Joe  
And when they built you, brother, they broke the mold  
  
When they built you, brother, they turned dust into gold  
When they built you, brother, they broke the mold  
  
They say you can't take it with you, but I think that they're wrong  
'Cause all I know is I woke up this morning, and something big was gone  
Gone into that dark ether where you're still young and hard and cold  
Just like when they built you, brother, they broke the mold  
  
Now your death is upon us and we'll return your ashes to the earth  
And I know you'll take comfort in knowing you've been roundly blessed and
cursed  
But love is a power greater than death, just like the songs and stories told  
And when she built you, brother, she broke the mold  
  
That attitude's a power stronger than death, alive and burning her stone cold  
When they built you, brother

",remember morning dug gun worms barrel hanging sun first nervous evenings perfume gin lost smell breath helped get rush lips feel name beat heart devils arcade said heroes needed heroes get made somebody made bet somebody paid cool desert morning nothing save metal plastic body caved slow games poker lieutenant ray ward blue walls sea name lie adrift heroes devils arcade sleep dream buddies charlie james wake thick desert dust skin voice says dont worry im whisper word tomorrow ear house quiet street home brave glorious kingdom sun face rising long night dark grave thin chain next moments something like faith morning order breakfast make bed draped sunshine body waits touch fingers end day beat heart beat heart beat heart beat heart beat heart beat heart beat heart slow burning away bitter fires devils arcade terris song begins well built titanic one kind many ships ruled seas built eiffel tower stand alone could build another please taj mahal pyramids egypt unique suppose built brother broke mold world filled many wonders passing sun sometimes something comes along know sure one mona lisa david sistine chapel jesus mary joe built brother broke mold built brother turned dust gold built brother broke mold say cant take think theyre wrong cause know woke morning something big gone gone dark ether youre still young hard cold like built brother broke mold death upon us well return ashes earth know youll take comfort knowing youve roundly blessed cursed love power greater death like songs stories told built brother broke mold attitudes power stronger death alive burning stone cold built brother
Maroon 5,Tangled,"I'm full of regret  
For all the things that I have done and said  
And I don't know if it'll ever be okay to show  
My face 'round here  
Sometimes I wonder if I disappear  
  
Would you ever turn your head and look  
To see if I'm gone  
'Cause I fear  
  
[Chorus]  
There is nothing left to say to you  
That you want to hear  
That you want to know  
I think I should go  
The things I've done are way too shameful  
  
You're just an innocent  
A helpless victim of a spider's web  
And I'm an insect  
Going after anything that I can get  
So you'd better turn your head and run  
And don't look back  
Cause I fear  
  
[Chorus]  
  
And I have done you so wrong  
Treated you bad  
Strung you along  
Oh, shame on myself  
I don't know how I got so tangled up  
'Cause I fear  
  
[Chorus]

",im full regret things done said dont know itll ever okay show face round sometimes wonder disappear would ever turn head look see im gone cause fear chorus nothing left say want hear want know think go things ive done way shameful youre innocent helpless victim spiders web im insect going anything get youd better turn head run dont look back cause fear chorus done wrong treated bad strung along oh shame dont know got tangled cause fear chorus
Richard Marx,Teacher I Need You,"I was sitting in the classroom,  
Trying to look intelligent  
In case the teacher looked at me.  
She was long and she was lean.  
She's a middle-aged dream,  
And that lady means the whole world to me.  
  
It's a natural achievement,  
Conquering my homework  
With her image pounding in my brain.  
She's an inspiration  
For my graduation,  
And she helps to keep the classroom sane.  
  
Oh teacher I need you,  
Like a little child.  
You got something in you  
To drive a schoolboy wild.  
  
You give me education  
In the lovesick blues.  
Help me get straight come out and say,  
Teacher I, teacher I, teacher I,  
Teacher I need you.  
  
I have to write a letter,  
Tell about my feelings,  
Just to let her know the scene.  
Focus my attention  
On some further education  
In connection with the birds and the bees.  
  
So I'm sitting in the classroom.  
I'm looking like a zombie.  
I'm waiting for the bell to ring.  
I've got John Wayne stances.  
I've got Erroll Flynn advances,  
And it doesn't mean a doggone thing.

",sitting classroom trying look intelligent case teacher looked long lean shes middleaged dream lady means whole world natural achievement conquering homework image pounding brain shes inspiration graduation helps keep classroom sane oh teacher need like little child got something drive schoolboy wild give education lovesick blues help get straight come say teacher teacher teacher teacher need write letter tell feelings let know scene focus attention education connection birds bees im sitting classroom im looking like zombie im waiting bell ring ive got john wayne stances ive got erroll flynn advances doesnt mean doggone thing
Justin Timberlake,Better Not Together,"Love feels lost  
Where is it to be found?  
My heart is still here  
We have to go around and around  
In all the time  
I was loving you faithfully  
And you took my love  
And you turn around on me  
Now I don't wanna fight with you  
I got everything I can do  
Don't you leave me like that, I just want my girl back  
Let me work it out for it is over  
What are we doing?  
What can we see to work it out?  
What are we doing?  
Can we forget what love was about?  
Feels like I'm losing, when it was everything to me  
And now I realize  
Were just better not together  
It's hard to let go  
Girl we ment through so many things  
But for you to grow, have to go on and spring your wings  
I see your tear, you surce for a pride of day  
You should have hold it through  
When you gave my love away  
Now I don't wanna fight with you  
I got everything I can do  
Had to leave it like that, but my thought Imma back  
We tried to work it out  
But it's over  
What are we doing?  
What can we see to work it out?  
What are we doing?  
Can we forget what love was about?  
Feels like I'm losing, when it was everything to me  
And now I realize  
Were just better not together  
Girl it's just too much for me to say  
You were tell me that you love me  
And now I watch you walk away  
But girl the way you fight  
It's just the mine  
That's way I spend it this way  
No, what else to say?  
But girl you know that I still love you, yeah  
What are we doing?  
What can we see to work it out?  
What are we doing?  
Can we forget what love was about?  
Feels like I'm losing, when it was everything to me  
And now I realize  
Were just better not together  
I realize  
Were just better not together

",love feels lost found heart still go around around time loving faithfully took love turn around dont wan na fight got everything dont leave like want girl back let work see work forget love feels like im losing everything realize better together hard let go girl ment many things grow go spring wings see tear surce pride day hold gave love away dont wan na fight got everything leave like thought imma back tried work see work forget love feels like im losing everything realize better together girl much say tell love watch walk away girl way fight mine thats way spend way else say girl know still love yeah see work forget love feels like im losing everything realize better together realize better together
Donna Summer,Denver Dream,"Denver dream  
Are you the one they call  
The Denver dream  
Colorado girl  
Denver dream  
Are you the one they call  
The Denver dream  
Colorado girl  
Denver!  
Denver!  
  
You were just a young girl the  
Well I know your story well  
Your parents died and left you  
Just a name and little else  
  
You split from Colorado  
You left without a word  
I guess I should have hated you  
But I loved you even more  
  
Denver dream  
So you're the one they called  
Denver dream  
Colorado girl  
Denver dream  
So you're the one they called  
Denver dream  
Colorado girl  
Denver!  
Denver!  
  
Quite a change come over you  
But then you're a woman now  
See just how you earned your name  
Your beauty conquered all  
  
Denver dream I've missed you  
It's been a long long time  
Since the day we've been apart  
You've been on my mind  
  
Say you're not sure whom I am  
Then cast your thoughts do Denver  
'cause I'm the girl you left so lost  
Yes I'm your little sister  
I'm your sister!  
  
Denver dream  
So you're the one they called  
Denver dream  
Colorado girl  
Denver dream  
So you're the one they called  
Denver dream  
Colorado girl  
Denver dream  
So you're the one they called  
Denver dream  
Colorado girl

",denver dream one call denver dream colorado girl denver dream one call denver dream colorado girl denver denver young girl well know story well parents died left name little else split colorado left without word guess hated loved even denver dream youre one called denver dream colorado girl denver dream youre one called denver dream colorado girl denver denver quite change come youre woman see earned name beauty conquered denver dream ive missed long long time since day weve apart youve mind say youre sure cast thoughts denver cause im girl left lost yes im little sister im sister denver dream youre one called denver dream colorado girl denver dream youre one called denver dream colorado girl denver dream youre one called denver dream colorado girl
Alice Cooper,Fantasy Man,"I don't drink tea or white chablis  
I sit around and watch tv  
Don't send flowers or take showers  
But I'll be there to pull your weeds  
  
Oh yeah  
  
I don't read books, I don't french cook  
Or stroll around in galleries  
I hate opera, I hate Oprah  
Don't fill my head with poetry  
  
You just want to squeeze my masculinity  
Why can't you leave it alone  
  
Hey, hey I ain't gonna change  
Hey, hey don't you love it this way  
Hey, hey I am what I am  
So please understand, I'm not you fantasy man  
  
I don't do dishes and I'm suspicious  
Of any grown-up man who does  
I'm homophobic, don't do aerobics  
Just lay around and catch a buzz  
  
You just want to squeeze my masculinity  
Why can't you leave it alone  
  
Hey, hey I ain't gonna change  
Hey, hey don't you love it this way  
Hey, hey I am what I am  
So please understand  
I'm not you fantasy man  
Hey, hey I ain't gonna change  
Hey, hey don't you love me this way  
Hey, hey I am what I am  
So please understand  
I'm not your fantasy man  
Hey  
Hey hey  
Hey  
Hey hey  
  
You just want to squeeze my masculinity  
Why can't you leave it alone  
  
Hey, hey I ain't gonna change  
Hey, hey don't you love me this way  
Hey, hey I am what I am  
So please understand  
I'm not you fantasy man  
  
Hey, hey I ain't gonna change  
Hey, hey don't you love me this way  
Hey, hey I am what I am  
So please understand  
I'm not you fantasy man

",dont drink tea white chablis sit around watch tv dont send flowers take showers ill pull weeds oh yeah dont read books dont french cook stroll around galleries hate opera hate oprah dont fill head poetry want squeeze masculinity cant leave alone hey hey aint gon na change hey hey dont love way hey hey please understand im fantasy man dont dishes im suspicious grownup man im homophobic dont aerobics lay around catch buzz want squeeze masculinity cant leave alone hey hey aint gon na change hey hey dont love way hey hey please understand im fantasy man hey hey aint gon na change hey hey dont love way hey hey please understand im fantasy man hey hey hey hey hey hey want squeeze masculinity cant leave alone hey hey aint gon na change hey hey dont love way hey hey please understand im fantasy man hey hey aint gon na change hey hey dont love way hey hey please understand im fantasy man
